Design Variation:  extent_x_pos='1000mm' extent_x_size='-1000mm' extent_y_pos='1000mm' extent_y_size='-1000mm' Signal12_lower_elevation='0mm' Signal4_lower_elevation='0mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  6GHz

Capacitance Matrix
,C0_L,C0_R,C0_read,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,
C0_L,2.037101908505848E+02,-4.967234758639987E+01,-1.207441851563336E+01,-1.219914472619689E+02,-3.249211260706182E+00,-1.492617582788870E+01,-4.825410180824815E-02,-6.358614082706800E-02,-6.957895773552123E-01,-3.643634790239686E-01,-4.398145767638273E-02,-3.791830297379558E-03
C0_R,-4.967234758639987E+01,1.985579009069274E+02,-1.076310513234689E+00,-1.279212818013343E+02,-3.819723480707801E-01,-7.183807212012836E-01,-7.037498391867868E-03,-1.184882436734961E-02,-1.479655808840881E+01,-3.145461540244478E+00,-2.938484607518593E-01,-2.319086689030818E-02
C0_read,-1.207441851563336E+01,-1.076310513234689E+00,5.450304156930513E+01,-4.099442484113945E+01,-8.359139606415227E-02,-2.037871683957065E-01,-1.728282070628231E-03,-1.434568673144698E-03,-4.118354308220373E-02,-2.257467576754811E-02,-3.362760515856796E-03,-2.253047283957357E-04
GND,-1.219914472619689E+02,-1.279212818013343E+02,-4.099442484113945E+01,1.234490554510962E+03,-9.446385768296740E+01,-8.466743853948392E+01,-1.603865142544439E+01,-3.387870638227571E+01,-8.431868557670141E+01,-9.504382699410240E+01,-4.925311317875025E+01,-6.357630386466875E+01
Q0_L,-3.249211260706182E+00,-3.819723480707801E-01,-8.359139606415227E-02,-9.446385768296740E+01,1.755852444715045E+02,-5.869723126173394E+01,-1.796320470953617E+01,-3.161810621320112E-01,-3.699421190075545E-02,-2.209750674711773E-02,-2.141445590047188E-03,-3.009530750052676E-04
Q0_R,-1.492617582788870E+01,-7.183807212012836E-01,-2.037871683957065E-01,-8.466743853948392E+01,-5.869723126173394E+01,1.604260564441537E+02,-8.299778069662311E-01,-1.123442103565515E-01,-6.153759361834640E-02,-3.525243169623285E-02,-4.097801377444316E-03,-4.508648209718387E-04
Q0_read,-4.825410180824815E-02,-7.037498391867868E-03,-1.728282070628231E-03,-1.603865142544439E+01,-1.796320470953617E+01,-8.299778069662311E-01,3.489089808920782E+01,-5.681619464283640E-04,-8.398249876252896E-04,-5.652798945593834E-04,-6.103445721306656E-05,-9.963704461235393E-06
Q0_xy,-6.358614082706800E-02,-1.184882436734961E-02,-1.434568673144698E-03,-3.387870638227571E+01,-3.161810621320112E-01,-1.123442103565515E-01,-5.681619464283640E-04,3.438641585775503E+01,-1.125556700158421E-03,-5.648120047123742E-04,-5.044052513173742E-05,-5.697946783936722E-06
Q1_L,-6.957895773552123E-01,-1.479655808840881E+01,-4.118354308220373E-02,-8.431868557670141E+01,-3.699421190075545E-02,-6.153759361834640E-02,-8.398249876252896E-04,-1.125556700158421E-03,1.599438759820842E+02,-5.869392028046302E+01,-9.382051909113607E-01,-7.926650332841743E-02
Q1_R,-3.643634790239686E-01,-3.145461540244478E+00,-2.257467576754811E-02,-9.504382699410240E+01,-2.209750674711773E-02,-3.525243169623285E-02,-5.652798945593834E-04,-5.648120047123742E-04,-5.869392028046302E+01,1.761122917868277E+02,-1.809873870486596E+01,-3.344273243349048E-01
Q1_read,-4.398145767638273E-02,-2.938484607518593E-01,-3.362760515856796E-03,-4.925311317875025E+01,-2.141445590047188E-03,-4.097801377444316E-03,-6.103445721306656E-05,-5.044052513173742E-05,-9.382051909113607E-01,-1.809873870486596E+01,6.864391252896147E+01,-6.312053539970129E-03
Q1_xy,-3.791830297379558E-03,-2.319086689030818E-02,-2.253047283957357E-04,-6.357630386466875E+01,-3.009530750052676E-04,-4.508648209718387E-04,-9.963704461235393E-06,-5.697946783936722E-06,-7.926650332841743E-02,-3.344273243349048E-01,-6.312053539970129E-03,6.406727770630748E+01

Capacitance Matrix Coupling Coefficient
