Design Variation:  extent_x_pos='1000mm' extent_x_size='-1000mm' extent_y_pos='1000mm' extent_y_size='-1000mm' Signal12_lower_elevation='0mm' Signal4_lower_elevation='0mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  6GHz

Capacitance Matrix
,C0_L,C0_R,C1_L,C1_R,C2_L,C2_R,C3_L,C3_R,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,Q2_L,Q2_R,Q2_read,Q2_xy,Q3_L,Q3_R,Q3_read,Q3_xy,
C0_L,1.925791992543094E+02,-4.730343026203526E+01,-4.943242040134879E-01,-1.608467250848163E-01,-7.390880636426835E-02,-9.577760305675323E-02,-4.942256117496323E-01,-3.797685935761091E+00,-1.198887364439811E+02,-3.152445566517756E+00,-1.511948247956033E+01,-2.922726043297305E-01,-2.805306494347086E-02,-3.570402730886278E-01,-7.110485808285123E-01,-3.897575679614593E-02,-3.666317566938027E-03,-1.654833687224048E-02,-3.058026209833773E-02,-6.683762150527604E-04,-2.472201376129699E-04,-3.260239830927972E-02,-6.078508122032943E-02,-1.069980522023375E-03,-4.689255481163507E-04
C0_R,-4.730343026203526E+01,1.928613020359128E+02,-3.784314836685710E+00,-4.888048822524581E-01,-9.718188203143702E-02,-7.320187074948911E-02,-1.599794907542257E-01,-4.936754440685639E-01,-1.202207104874321E+02,-3.572579097117212E-01,-7.074958748829651E-01,-4.449313357215307E-02,-4.729791744890991E-03,-3.149925985991097E+00,-1.511413892378263E+01,-2.681358616662693E-01,-2.575707433679768E-02,-3.229824449159169E-02,-6.154947000127560E-02,-1.137613282655705E-03,-5.026669368113287E-04,-1.682403786483204E-02,-2.991061344740826E-02,-6.606873408709181E-04,-2.980297703427262E-04
C1_L,-4.943242040134879E-01,-3.784314836685710E+00,1.928441701133237E+02,-4.729703797911723E+01,-4.906776664142944E-01,-1.619328743306808E-01,-7.332477916021229E-02,-9.673433868764013E-02,-1.202519124062472E+02,-3.187284157715239E-02,-5.962779532996103E-02,-2.995186253983088E-03,-4.360801296914119E-04,-3.221403804107008E+00,-1.521059126882906E+01,-5.945182284460937E-02,-2.541612613063372E-02,-3.680823848026956E-01,-7.201477312956440E-01,-8.057872823840318E-03,-4.862868322561246E-03,-1.685718727359234E-02,-3.009794474470639E-02,-9.902002178643575E-04,-2.480233108155975E-04
C1_R,-1.608467250848163E-01,-4.888048822524581E-01,-4.729703797911723E+01,1.926361904556052E+02,-3.788549554510181E+00,-4.906440393391525E-01,-9.771489509030193E-02,-7.424612134432663E-02,-1.200220358279495E+02,-1.730134103757711E-02,-3.035519447845481E-02,-1.277233101050334E-03,-2.731171020784776E-04,-3.688164640504689E-01,-7.167571082775717E-01,-8.110555296806739E-03,-3.992167032407274E-03,-3.228054587134660E+00,-1.521981932854339E+01,-5.914249317695778E-02,-2.956457469813796E-02,-3.201635408111588E-02,-6.025061823725015E-02,-2.523142807466957E-03,-5.267782775329601E-04
C2_L,-7.390880636426835E-02,-9.718188203143702E-02,-4.906776664142944E-01,-3.788549554510181E+00,1.925468001528533E+02,-4.729786548895184E+01,-4.901151537260437E-01,-1.608601975126204E-01,-1.199105058776583E+02,-1.713789695743147E-02,-3.053646714695688E-02,-7.057229626249343E-04,-2.714303334432775E-04,-3.239191723254901E-02,-6.041359713336138E-02,-1.104143363815804E-03,-3.192832941387433E-04,-3.148741759208472E+00,-1.509840868930575E+01,-2.730178331168109E-01,-2.906234536497097E-02,-3.594537021662655E-01,-7.136829717383412E-01,-3.559836932491258E-02,-4.297758910907503E-03
C2_R,-9.577760305675323E-02,-7.320187074948911E-02,-1.619328743306808E-01,-4.906440393391525E-01,-4.729786548895184E+01,1.929117918950577E+02,-3.785173102118097E+00,-4.936126112184886E-01,-1.202822336279652E+02,-3.211631046870164E-02,-6.003075450955370E-02,-1.164188751514822E-03,-5.482498841520875E-04,-1.682227161706923E-02,-3.014746068390919E-02,-7.034376353405421E-04,-1.864439812811487E-04,-3.580342934255105E-01,-7.140344440123558E-01,-3.922582141619638E-02,-4.159587412154418E-03,-3.153041089566156E+00,-1.511997255065210E+01,-2.513526072174818E-01,-2.712552527517223E-02
C3_L,-4.942256117496323E-01,-1.599794907542257E-01,-7.332477916021229E-02,-9.771489509030193E-02,-4.901151537260437E-01,-3.785173102118097E+00,1.928233552005898E+02,-4.729712694978142E+01,-1.202403655290712E+02,-3.680357088981396E-01,-7.135489428238047E-01,-8.522820179366364E-03,-4.050328323652818E-03,-1.677816159150597E-02,-2.978116189227914E-02,-1.085587297719546E-03,-2.821646717387860E-04,-3.186122558011189E-02,-6.110599055226661E-02,-2.742741467353750E-03,-6.341180430206870E-04,-3.219472639778510E+00,-1.520128282723291E+01,-5.726566401381900E-02,-2.864044637474973E-02
C3_R,-3.797685935761091E+00,-4.936754440685639E-01,-9.673433868764013E-02,-7.424612134432663E-02,-1.608601975126204E-01,-4.936126112184886E-01,-4.729712694978142E+01,1.926878256610192E+02,-1.200502229596692E+02,-3.229506187556571E+00,-1.523914022318464E+01,-6.290581841208859E-02,-2.768215110575256E-02,-3.180844281048626E-02,-6.040007954510300E-02,-2.718316912912778E-03,-5.419538634501324E-04,-1.664692383556049E-02,-3.049386256554656E-02,-1.148883202221469E-03,-2.729136473543556E-04,-3.668793792525559E-01,-7.152521116968410E-01,-7.678021436921680E-03,-4.103525235202458E-03
GND,-1.198887364439811E+02,-1.202207104874321E+02,-1.202519124062472E+02,-1.200220358279495E+02,-1.199105058776583E+02,-1.202822336279652E+02,-1.202403655290712E+02,-1.200502229596692E+02,2.447117036525231E+03,-8.796717744964587E+01,-6.335368008544706E+01,-5.266694711089746E+01,-7.335169332915615E+01,-8.800060701815784E+01,-6.340162727062270E+01,-4.236396580470539E+01,-6.250063458839860E+01,-8.798350322518957E+01,-6.336006332545846E+01,-4.439214455177310E+01,-7.826021248468264E+01,-8.801465923014364E+01,-6.340824212398326E+01,-3.585461710050329E+01,-7.320284417349238E+01
Q0_L,-3.152445566517756E+00,-3.572579097117212E-01,-3.187284157715239E-02,-1.730134103757711E-02,-1.713789695743147E-02,-3.211631046870164E-02,-3.680357088981396E-01,-3.229506187556571E+00,-8.796717744964587E+01,1.709740480170465E+02,-5.670278277244282E+01,-1.818230987508335E+01,-4.309530359333080E-01,-1.961287761677985E-02,-3.262961663790606E-02,-2.326357966015153E-03,-3.162046204396453E-04,-4.527423020914784E-03,-5.966205562238557E-03,-2.542725967982254E-04,-5.920318766499567E-05,-2.084230039345672E-02,-3.387163394931533E-02,-5.474429087765060E-04,-3.113597972500958E-04
